gene_name
ENSG00000157911
ENSG00000142655
ENSG00000171621
ENSG00000142583
ENSG00000226457
ENSG00000173614
ENSG00000215720
ENSG00000171729
ENSG00000037637
ENSG00000159423
ENSG00000157916
ENSG00000157881
ENSG00000238290
ENSG00000048707
ENSG00000162444
ENSG00000180758
ENSG00000184677
ENSG00000288398
ENSG00000131697
ENSG00000233929
ENSG00000055070
ENSG00000234397
ENSG00000204138
ENSG00000090020
ENSG00000157978
ENSG00000158006
ENSG00000214812
ENSG00000196581
ENSG00000169403
ENSG00000171612
ENSG00000188910
ENSG00000158161
ENSG00000142627
ENSG00000142632
ENSG00000189337
ENSG00000028137
ENSG00000130939
ENSG00000175147
ENSG00000127472
ENSG00000060656
ENSG00000163867
ENSG00000189280
ENSG00000134698
ENSG00000272420
ENSG00000132881
ENSG00000273274
ENSG00000236648
ENSG00000232273
ENSG00000163879
ENSG00000116954
ENSG00000228589
ENSG00000179051
ENSG00000215895
ENSG00000126067
ENSG00000054118
ENSG00000237749
ENSG00000284705
ENSG00000158315
ENSG00000186973
ENSG00000146463
ENSG00000142686
ENSG00000224751
ENSG00000230585
ENSG00000117000
ENSG00000092853
ENSG00000134697
ENSG00000187513
ENSG00000116151
ENSG00000006555
ENSG00000236111
ENSG00000214114
ENSG00000236723
ENSG00000117016
ENSG00000163866
ENSG00000237130
ENSG00000260971
ENSG00000238242
ENSG00000162384
ENSG00000162391
ENSG00000117859
ENSG00000162396
ENSG00000284686
ENSG00000162378
ENSG00000233079
ENSG00000240563
ENSG00000284773
ENSG00000224609
ENSG00000236646
ENSG00000243725
ENSG00000162407
ENSG00000163877
ENSG00000228929
ENSG00000157184
ENSG00000198815
ENSG00000134744
ENSG00000162385
ENSG00000116652
ENSG00000123080
ENSG00000225675
ENSG00000280317
